cp_measure_feature,cp_measure_module,cellprofiler_equivalent,cellprofiler_module,naming_rule,confidence,rsi,rsi_category,correction_strategy,note
SumEntropy_5_01_256,measuretexture.get_texture,Texture_SumEntropy_{image}_5_01_256,MeasureTexture,,medium,0.002153,stable,,
SumEntropy_5_02_256,measuretexture.get_texture,Texture_SumEntropy_{image}_5_02_256,MeasureTexture,,medium,0.001093,stable,,
SumEntropy_5_03_256,measuretexture.get_texture,Texture_SumEntropy_{image}_5_03_256,MeasureTexture,,medium,0.002214,stable,,
SumVariance_3_00_256,measuretexture.get_texture,Texture_SumVariance_{image}_3_00_256,MeasureTexture,,medium,0.006245,stable,,
SumVariance_3_01_256,measuretexture.get_texture,Texture_SumVariance_{image}_3_01_256,MeasureTexture,,medium,0.007831,stable,,
SumVariance_3_02_256,measuretexture.get_texture,Texture_SumVariance_{image}_3_02_256,MeasureTexture,,medium,0.006634,stable,,
SumVariance_3_03_256,measuretexture.get_texture,Texture_SumVariance_{image}_3_03_256,MeasureTexture,,medium,0.008069,stable,,
Variance_3_00_256,measuretexture.get_texture,Texture_Variance_{image}_3_00_256,MeasureTexture,,medium,0.007605,stable,,
Variance_3_01_256,measuretexture.get_texture,Texture_Variance_{image}_3_01_256,MeasureTexture,,medium,0.008405,stable,,
Variance_3_02_256,measuretexture.get_texture,Texture_Variance_{image}_3_02_256,MeasureTexture,,medium,0.007582,stable,,
Variance_3_03_256,measuretexture.get_texture,Texture_Variance_{image}_3_03_256,MeasureTexture,,medium,0.008562,stable,,
Variance_5_02_256,measuretexture.get_texture,Texture_Variance_{image}_5_02_256,MeasureTexture,,medium,0.009772,stable,,
Zernike_0_0,measureobjectsizeshape.get_zernike,AreaShape_Zernike_0_0,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.000466,stable,,
Zernike_2_0,measureobjectsizeshape.get_zernike,AreaShape_Zernike_2_0,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.001311,stable,,
Zernike_2_2,measureobjectsizeshape.get_zernike,AreaShape_Zernike_2_2,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.002305,stable,,
Zernike_4_2,measureobjectsizeshape.get_zernike,AreaShape_Zernike_4_2,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.004936,stable,,
HuMoment_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,0.754123,test_artefact,,
HuMoment_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,16.540394,test_artefact,,
HuMoment_4,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,794.380005,test_artefact,,
HuMoment_5,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,34.458817,test_artefact,,
HuMoment_6,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,14.578012,test_artefact,,
Zernike_1_1,measureobjectsizeshape.get_zernike,AreaShape_Zernike_1_1,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,2.133783,test_artefact,,
Zernike_3_1,measureobjectsizeshape.get_zernike,AreaShape_Zernike_3_1,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,1.646915,test_artefact,,
Zernike_3_3,measureobjectsizeshape.get_zernike,AreaShape_Zernike_3_3,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,2.927991,test_artefact,,
Zernike_5_1,measureobjectsizeshape.get_zernike,AreaShape_Zernike_5_1,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,4.043367,test_artefact,,
Zernike_5_3,measureobjectsizeshape.get_zernike,AreaShape_Zernike_5_3,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.605157,test_artefact,,
Zernike_5_5,measureobjectsizeshape.get_zernike,AreaShape_Zernike_5_5,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,3.823194,test_artefact,,
Zernike_7_1,measureobjectsizeshape.get_zernike,AreaShape_Zernike_7_1,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,3.272163,test_artefact,,
Zernike_7_3,measureobjectsizeshape.get_zernike,AreaShape_Zernike_7_3,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,1.546975,test_artefact,,
Zernike_7_5,measureobjectsizeshape.get_zernike,AreaShape_Zernike_7_5,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,1.677241,test_artefact,,
Zernike_7_7,measureobjectsizeshape.get_zernike,AreaShape_Zernike_7_7,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.516407,test_artefact,,
Zernike_9_1,measureobjectsizeshape.get_zernike,AreaShape_Zernike_9_1,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,2.17101,test_artefact,,
Zernike_9_3,measureobjectsizeshape.get_zernike,AreaShape_Zernike_9_3,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,1.999058,test_artefact,,
Zernike_9_5,measureobjectsizeshape.get_zernike,AreaShape_Zernike_9_5,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.453431,test_artefact,,
Zernike_9_7,measureobjectsizeshape.get_zernike,AreaShape_Zernike_9_7,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.783705,test_artefact,,
Zernike_9_9,measureobjectsizeshape.get_zernike,AreaShape_Zernike_9_9,MeasureObjectSizeShape (Zernike option),AreaShape_Zernike_{n}_{m},high,0.848341,test_artefact,,
EulerNumber,measureobjectsizeshape.get_sizeshape,AreaShape_EulerNumber,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),high,,constant,,
Granularity_10,measuregranularity.get_granularity,Granularity_10_{image},MeasureGranularity,,medium,,constant,,
Granularity_11,measuregranularity.get_granularity,Granularity_11_{image},MeasureGranularity,,medium,,constant,,
Granularity_12,measuregranularity.get_granularity,Granularity_12_{image},MeasureGranularity,,medium,,constant,,
Granularity_13,measuregranularity.get_granularity,Granularity_13_{image},MeasureGranularity,,medium,,constant,,
Granularity_14,measuregranularity.get_granularity,Granularity_14_{image},MeasureGranularity,,medium,,constant,,
Granularity_15,measuregranularity.get_granularity,Granularity_15_{image},MeasureGranularity,,medium,,constant,,
Granularity_16,measuregranularity.get_granularity,Granularity_16_{image},MeasureGranularity,,medium,,constant,,
Granularity_8,measuregranularity.get_granularity,Granularity_8_{image},MeasureGranularity,,medium,,constant,,
Granularity_9,measuregranularity.get_granularity,Granularity_9_{image},MeasureGranularity,,medium,,constant,,
Location_CenterMassIntensity_Z,measureobjectintensity.get_intensity,Location_CenterMassIntensity_Z_{image},MeasureObjectIntensity,,medium,,constant,,
Location_MaxIntensity_Z,measureobjectintensity.get_intensity,Location_MaxIntensity_Z_{image},MeasureObjectIntensity,,medium,,constant,,
RadialDistribution_ZernikePhase_0_0,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_0_0_{image},MeasureObjectIntensityDistribution,,medium,,constant,phase_minus_m_times_orientation,
NormalizedMoment_0_0,measureobjectsizeshape.get_sizeshape,,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),low,,,,cp_measure only
